pants_description,Avg_Discount
"Men Mankle Skinny Fit Jeans",1949.00
"Men Classic Light Fade Jeans",1949.00
"Men Splash Effect Skinny Jeans",1949.00
"Men Mildly Distressed Jeans",1947.91
"Men Black Mid-Rise Baggy Jeans",1946.00
"Unisex Cargo Styles Jeans",1939.00
"Men Slim Fit Chinos Trousers",1938.80
"Men Mid-Rise Heavy Fade Jeans",1938.47
"Men Plus Size Jogger Jeans",1936.00
"Men 512 Slim Tapered Jeans",1935.00
"Men Straight Fit Cropped Jeans",1934.00
"Men Athletic Skinny Fit Jeans",1934.00
"Men Skinny Clean Look Jeans",1934.00
"Men Mid-Rise Tapered Fit Jeans",1932.88
"Slim Fit Heavy Fade Jeans",1926.44
"Men Mid-Rise Light Fade Jeans",1926.15
"Men Rover Slash Knee Jeans",1924.00
"Men Tours Slim Fit Jeans",1924.00
"Skinny-Fit Mid-Rise Jeans",1924.00
"Men Carrot Jeans",1924.00
"Mid Wash Slim-Fit Jeans",1924.00
"Men Clark Regular Fit Jeans",1924.00
"Lightly Washed Slim-Fit Jeans",1924.00
"Mildly Distressed Fade Jeans",1924.00
"Men Mid-Rise Clean Look Jeans",1923.90
"Mid-Rise Heavy Fade Jeans",1921.00
"Men Comfort Relaxed Fit Jeans",1920.67
"Men Low-Rise Jeans",1920.54
"Men Skinny Fit Cropped Jeans",1919.67
"Men Tapered Pleated Jeans",1919.00
"Men Distress Stretchable Jeans",1919.00
"Men Low-Rise Clean Look Jeans",1912.00
"Men Tapered Fit Low Rise Jeans",1912.00
"Men Trousers",1911.00
"Men Regular Fit Denim Jeans",1909.29
"Men Cut and Sew Jeans",1908.00
"Cut and Sew Jeans",1908.00
"Solid Cotton Heavy Fade Jeans",1907.00
"Blue Light Fade Jeans",1906.50
"Men Regular Fit Mid Rise Jeans",1899.22
"Plus Size Men Clean Look Jeans",1899.00
"Super Skinny Fit Jeans",1899.00
"Baggy Fit High-Rise Jeans",1899.00
"Straight Fit Cargo Style Jeans",1899.00
"Men Tapered Jeans",1899.00
"Men Original Regular Fit Jeans",1899.00
"Baggy Straight Jeans",1899.00
"Men 511 Slim Fit Jeans",1896.60
"Men Rodeo Fit Jeans",1893.00
"Men Slim Fit Mid Rise Jeans",1890.89
"Men Cotton Loose Cargo Jeans",1890.00
"Mid-Rise  Slim Fit Jeans",1889.00
"Indigo Mid-Rise Bootcut Jeans",1889.00
"Men Baggy Fit Light Fade Jeans",1889.00
